Nombre: 843;Num;Nom;NumType;COMMUNE;Population_totale;EMPLOIS_TOTAUX;ENF;EPCI;IRIS
436;607;LANGON;3;LANGON;3819,00;4068;124,00;;0
437;608;BIGANOS;3;BIGANOS;3523,00;394;113,00;;0
438;609;BIGANOS;3;BIGANOS;3498,00;3795;147,00;;0
439;610;GUJAN-MESTRAS;3;GUJAN-MESTRAS;5895,00;282;203,00;;104
440;611;GUJAN-MESTRAS;3;GUJAN-MESTRAS;6588,00;500;179,00;;102
441;612;TESTE-DE-BUCH (LA );3;TESTE-DE-BUCH (LA );3916,00;2021;120,00;;0104_0103
442;613;ARCACHON;3;ARCACHON;1928,00;655;32,00;;0
443;614;ARCACHON;3;ARCACHON;1573,00;548;18,00;;0
444;615;ARCACHON;3;ARCACHON;3770,00;2573;37,00;;0
445;616;ARCACHON;3;ARCACHON;1855,00;798;15,00;;0
446;617;ANDERNOS-LES-BAINS;3;ANDERNOS-LES-BAINS;2697,00;682;25,00;;0
447;618;ANDERNOS-LES-BAINS;3;ANDERNOS-LES-BAINS;3016,00;1635;41,00;;0
448;619;LEGE-CAP-FERRET;3;LEGE-CAP-FERRET;4602,00;1684;154,00;;0
449;620;TEUILLAC;3;PUGNAC;1373,00;151;69,00;;0
450;621;CARS;3;CARS BERSON;1199,00;559;36,00;;0
451;622;LES PEINTURES;3;LES EGLISOTTES-ET-CHALAURES;1620,00;270;66,00;;0
452;623;CAMPS SUR L'ISLE;3;GOURS Camp  sur l'isle;964,00;116;32,00;;0
453;624;PAILLET;3;LANGOIRAN;1549,00;178;66,00;;0
454;625;LANGOIRAN;3;LANGOIRAN;2192,00;349;90,00;;0
455;626;BEGUEY;3;CADILLAC;1185,00;307;57,00;;0
456;627;LAROQUE;3;CADILLAC;589,00;124;19,00;;0
457;628;LOUPIAC;3;CADILLAC;1092,00;228;36,00;;0
458;629;SAINT ANDRE DU BOIS;3;SAINT-PIERRE-D'AURILLAC;430,00;99;19,00;;0
459;630;SAINT MARTIN DE SESCAS;3;SAINT-PIERRE-D'AURILLAC;594,00;102;32,00;;0
460;631;CASSEUIL;3;CAUDROT;391,00;15;12,00;;0
461;632;SAINT MICHEL DE LAPUJADE;3;LAMOTHE-LANDERON;440,00;115;20,00;;0
